,board,value
57,8/8/R2r1pk1/1p6/6K1/3n1b2/2p5/6n1,-1
58,r1b4q/pP2nkb1/3p4/r3pPp1/2p2PKp/P1PP3N/R2Q2PP/1N3BBR,-1
59,b1k5/8/8/6K1/8/8/8/2r5,1
60,R1N5/4Pk2/5B2/3P1K2/pnp5/P3b3/8/8,-1
61,5q1r/3k2bp/2npp3/rPp2pp1/p3P2P/1P1N2PN/P4K2/2R1QB1R,-1
62,5k1N/3K4/8/1B6/8/7p/7P/8,-1
63,R7/b3Pk2/5B2/3P4/pnp3K1/P7/8/8,-1
64,1q5r/n5N1/r5Pk/1pp5/7P/4K3/8/8,1
65,3nqr2/3k3p/1P1pp3/r4p1P/2p1PNp1/pPb3P1/P3K3/3R1B1R,-1
66,r2qkbnr/pbp2p1p/3p2p1/1pP1pn2/1P3PPP/N7/P1QPP3/R1B1KBNR,-1
67,8/8/1n5k/5p2/1K6/8/3R4/8,1
68,3n1q1r/3k2bp/3pp3/rPp2p2/p3P1pP/1PQN2PN/P4K2/2R2B1R,-1
69,8/2R5/8/2k5/8/8/3K4/8,-1
70,8/8/8/8/k7/8/2n1n1K1/8,1
71,4r3/p1k5/n6p/1pP1R3/PP5P/5P2/N1PQ4/2R2K1B,-1
72,1b6/2k4N/7p/7P/P2B2P1/1n6/5N2/R6K,-1
73,8/5k2/5p1n/R6K/rp6/8/8/b7,-1
74,8/8/6R1/5k1P/p1P1n3/p4PK1/2R5/7B,-1
75,r1b3Br/p1k5/1p3p2/1Ppp3P/2P2K1p/B7/nbR2R2/8,-1
76,5k2/8/5r2/pr6/7p/8/7K/7n,1
77,8/3R3r/6p1/2k2b1r/ppB4P/P4P2/7R/5K2,1
78,rn2k1nr/ppp2ppp/8/2bbp3/P7/8/1PPB3K/R7,-1
79,8/8/7k/1np5/7K/8/1p6/6r1,1
80,7k/8/6r1/8/8/8/3K4/8,1
81,4k3/8/8/8/1p2B1n1/8/RK6/6r1,-1
82,1rq2b2/3n1kpr/4p2n/p1Qpp2p/1p1Pb1PP/PR6/1B1NNP2/3RKB2,1
83,r2qkbnr/N6p/2p1P3/2p2pp1/1P1n2PP/1Q2P3/P2P2B1/RbB1K1NR,-1
84,1R2nb2/1n2k3/B2rp1p1/4p2q/bQNp4/2P2p2/4NB2/4K1Rr,1
85,rnbqkbnr/p1pppp1p/1p6/6p1/8/4P2N/PPPP1PPP/RNBQKB1R,1
86,5b2/2R5/3p1P2/p7/7r/P7/1K4k1/7n,-1
87,1n2r3/1R4b1/2Pp1k2/ppRp4/1P5P/3p1Pp1/P2KB3/6Nn,-1
88,8/8/8/1N5P/8/6k1/8/3K4,-1
89,1k4K1/8/8/6R1/B7/8/8/8,-1
90,8/5p2/5P2/4p1pk/p3p3/1b6/2K5/8,1
91,r1n5/8/7k/2p5/1p6/8/7K/8,1
92,5k2/8/6r1/2K5/1n6/8/8/8,1
93,4R3/1k6/3b4/8/R7/1B3nPp/7P/1K6,-1
94,1nbqk2r/1pp3p1/r6p/p3PP2/Pb5N/1P2P2B/2PP3P/R1BQKn1R,1
95,8/6b1/P2k3P/6p1/1R4P1/n2K4/8/8,-1
96,8/8/1P1P1k2/8/8/2R5/p7/2n3bK,-1
97,5N2/2k5/7p/7P/P1nB2P1/R6N/8/6bK,-1
98,7k/3P1p2/2b2P2/4p1p1/p3p2P/P4r2/8/K6R,1
99,8/6k1/r7/8/8/8/8/2K5,1
100,8/6k1/8/8/8/5pK1/8/8,-1
101,8/6r1/3p3b/pp1R1P2/8/PK3n2/5k2/7n,-1
102,5k2/8/5r2/pr6/7p/7K/8/7n,1
103,7k/8/8/2p5/3n2K1/4r3/8/1n6,1
104,R2bR1B1/1k6/8/8/3n4/6Pp/7P/1K6,-1
105,8/1n3p2/5P2/8/3k2p1/1b6/5b2/1K6,1
106,1nbq1bn1/rp1p4/p4kpB/3Pp2p/1pP1P1pP/4KP2/P2Q3R/RN3BN1,-1
107,r1b1kbnr/pppB1ppp/8/3pp1Q1/4P3/8/PPPP1PPP/RNB1K1NR,-1
108,6R1/8/8/4B3/8/p7/5n2/4k1K1,-1
109,rnbqkbnr/1ppppppp/p7/8/6P1/8/PPPPPP1P/RNBQKBNR,-1
110,8/8/8/k7/8/8/5K2/r7,1
111,r1bqk1nr/2pp1p1p/1p5b/3n2p1/P3N1P1/Bp2PR2/N1PPB2P/1R1QK3,1
112,kb6/8/8/B1r3N1/5p2/4Q3/2b5/7K,1
113,b1k5/7K/8/8/8/8/8/6r1,1
114,1k6/8/3N4/8/1B3b2/5p2/r7/4K3,1
115,2r1k2r/p2b1N1p/npp3p1/2b2p1P/2Q5/2BPPP2/PPP3BP/R4KNR,-1
116,8/7K/5r2/8/1PN5/p5k1/8/8,1
117,8/k7/8/1r1B2K1/8/8/1Rn5/8,-1
118,2r2k1r/p4N2/npp1Q1pp/7P/Pb3p2/2BPPP2/1PP2KBP/R1N4R,-1
119,4r3/p1k5/2n4p/2P5/p6P/2P2PR1/NQ6/1R4KB,-1
120,8/4krb1/p2p1R1p/4r1p1/Np2P3/P6B/1B3KpP/R1Q5,1
121,2rqk2r/4p3/p3P2P/P1ppnp1p/1BP4P/N1P3P1/RPK5/6R1,-1
122,K7/5R2/8/8/6k1/8/8/8,1
123,8/N7/8/7P/8/8/4K1k1/8,-1
124,2b2r2/3pnkp1/1p6/RBr1p3/2Pp1BPp/1P3N2/2n2P1P/1NQK3R,-1
125,8/8/8/2k5/7K/8/2n5/6n1,1
126,1nb2bn1/r1qp1k2/1p4pB/p2P3p/1pP1P2P/5pQ1/P3NK1R/RN3B2,-1
127,8/3r4/8/p7/8/8/1K6/3k4,1
128,8/8/5k2/8/5BK1/8/PPP2P2/8,-1
129,6R1/8/1k6/8/5R2/1B4Pp/7P/1Kb3n1,-1
130,3k4/1R6/1PR5/5pP1/5p2/5K1p/8/2r5,-1
131,rnbqkbnr/2pppppp/8/pp6/P7/1P6/2PPPPPP/RNBQKBNR,1
132,4n2k/8/8/1bpN2p1/2P1R1PP/4p3/2rp4/3K4,-1
133,7b/8/P2k4/6p1/5nP1/8/8/1K6,-1
134,1r3b1r/pq1n1kp1/4p2n/1P1pp2p/1p1Pb2P/5N1R/PBQ1NPP1/3RKB2,1
135,k7/8/7p/K7/8/p5nb/8/8,-1
136,8/8/6R1/5k1P/p1P1n3/p4P1K/2R5/7B,-1
137,2n5/p7/2k4p/2PR3P/1rP5/p4P2/N5BK/6R1,-1
138,4k1b1/1ppr2p1/n2Q4/5P2/1P2Np1p/r2P4/PBRKPP1P/5B1R,1
139,4K3/8/2k3r1/8/7b/8/8/7b,1
140,6B1/k7/2R5/8/5K2/8/1p6/1r2n3,-1
141,rnbqkb2/ppp1p1p1/7r/3p1p1p/1PP3n1/5P2/PB1PP1PP/RN1QKBNR,-1
142,r2n1N2/4kq2/BP5p/7P/1b3pp1/p5P1/5K1R/b7,-1
143,1k6/8/K3b2p/8/8/6n1/8/q7,-1
144,1nbq1Bn1/r2p1k2/1p4p1/p2P3p/1pP1P2P/P4pQ1/4NK1R/RN3B2,-1
145,K7/5R2/8/7k/8/8/8/8,1
146,8/r7/8/p4k2/8/2K5/8/8,1
147,4r2N/8/rb3k2/pq3p1P/1PbPnP1P/2PPpK2/6BR/6B1,1
148,r2qkr2/2pp1p1p/bp5b/2Bn2p1/4NnP1/1RN5/2PPB2P/3QKR2,1
149,5br1/1Nk4p/7n/2pbr1pP/PP3RP1/4p2N/3PB3/BR2K3,-1
150,rnbqk1nr/pppp3p/5pp1/2b1p3/2P5/5P2/PP1PP1PP/RNBQKBNR,1
151,rn3k2/1p6/7p/p1p2K2/2P5/1b6/1P6/6r1,-1
152,rnbqkbnr/ppppp1pp/5p2/8/8/N7/PPPPPPPP/R1BQKBNR,1
153,6k1/2Q5/1P6/2pbPNpp/8/4P3/2P2R1P/1R2Kn2,1
154,8/7P/7k/8/2p5/8/4K3/8,-1
155,8/5p2/5P2/6p1/p3pk2/4p3/2K5/7b,1
156,rq2kb1r/p2nppp1/1p4bn/2pp3p/2PNP2P/1P5R/P2PNPP1/R1BQKB2,1
157,1n3r1k/2N1q3/3p3K/3P3P/2P1P3/2N5/7n/8,-1
158,5n2/8/8/8/5k2/5p2/K7/8,1
159,7R/2r2b2/5K2/8/8/8/1k6/8,1
160,2K1B3/8/2p4b/6r1/7p/8/3k4/8,1
161,3k1r2/7P/pr1pP3/1P1p3p/6pP/8/qP6/R2K4,-1
162,8/4k3/5r2/pr6/7p/8/7K/7n,1
163,8/5k2/8/8/N1K5/7p/B6P/8,-1
164,1b2k2N/6r1/3B2P1/P2P1p2/5P2/3P2K1/b3r3/8,1
165,8/1r6/8/p6k/5r2/6Kp/8/8,1
166,2R1nb2/1n2k3/B1brp1p1/4p2q/RQNp4/2P2p2/4NB2/4K1Rr,1
167,2r4r/6p1/1q2p2k/3p3P/pR3K2/P2p4/N1N2b2/2B1QR2,1
168,1R2n3/1n2k3/B1r1p1p1/4p3/b2p4/1QP1bp1q/2K2B2/2N3Rr,1
169,8/2r5/8/1k6/3K4/8/8/8,1
170,4N1nr/3Bb1qb/2P3k1/2P5/2PnPPPQ/p1BpP3/3R3P/1N3K1R,1
171,8/3R1k2/7b/1P1P4/8/p1p2K2/8/8,-1
172,4k3/8/6n1/3R4/1p2r3/7B/R7/1K6,-1
173,8/8/2n5/8/8/5p2/1K2k3/8,1
174,2b2k2/3R2p1/1p1n3B/1P1rp3/2P3P1/Nr1p4/7P/4K1R1,-1
175,bn1qk1nQ/5p2/r3pPp1/p1b5/2pPp3/P1P2NPP/R2B4/4KB1R,1
176,7k/2r5/8/8/8/8/8/4K3,1
177,8/8/8/P2B1K1b/8/6r1/2k5/8,1
178,2kb4/1n6/3R2B1/6N1/1B5p/4rR2/3K2PP/8,-1
179,3r2r1/p1p1RpPQ/1pkp1P2/q6p/n1P4P/1RPB4/3K2P1/8,1
180,8/8/8/4B3/4n3/p7/6R1/4k2K,-1
181,r1b5/pPq1nk2/3p3b/2r1pPp1/2p2P1p/P1PPBK1N/R2Q2PP/1N3B1R,-1
182,8/8/6K1/N7/1P1r4/p4R2/3k1b2/8,1
183,R3n1q1/1Qn5/5kBr/4p3/5B2/2pK4/4pR2/8,1
184,6nr/2k1r2p/3b4/2N3pP/PPB2RP1/4pb1N/2RP4/B4K2,-1
185,4k3/8/4n3/r2P1r2/1p6/1KR2B1P/1R6/8,-1
186,1rbq2rN/2p1b1k1/5p2/pp1pn3/1P1PP1pR/2P5/n1QN1KB1/R7,-1
187,1b1k3N/4r3/P5P1/3P1p2/1B1P1P2/5r2/b5K1/8,1
188,rnbqkb1r/1ppppp1p/8/p5p1/4P1QP/1P1P2PR/P1P2n2/RNB1KBN1,-1
189,8/4k3/8/p7/P2K1b2/8/8/8,-1
190,3n1N2/1B2kq2/1P5p/7P/rb3pp1/p5P1/5K1R/b7,-1
191,8/2R5/1N1N3B/1P3p2/4p2k/4P3/2PP1P1P/3QKBR1,1
192,1k5N/B1b5/P5P1/3P1p2/8/1rr5/2b5/6K1,1
193,5k1n/8/8/1R6/K5P1/8/8/b7,-1
194,1rq2b2/5kpr/1n2p3/p1Qppn1p/1p1P2PP/Pb3R2/N2NBP2/2BR1K2,1
195,5q2/3k1P2/7p/8/8/8/p2b2K1/b7,-1
196,R3R3/1kb5/8/8/8/5nPp/B6P/1K6,-1
197,8/k7/8/6K1/8/4R3/8/1B2n3,-1
198,3r4/2p5/7b/3qk3/B6p/2p2p1P/7Q/K7,1
199,5R2/K7/8/8/8/3k4/8/8,1
200,3n1b2/1b2p3/2P1k1p1/1p3pPr/2P2P1P/Br1Q2p1/R2NK3/5RN1,-1
201,8/8/8/1n3p1k/8/1K6/6R1/8,1
202,2b1nk2/3R2p1/1p6/1P4r1/1rP1p1P1/N2pB2P/8/4K3,-1
203,qr3Nk1/1R2R3/5p2/1pPp4/6p1/1np5/1nb3B1/6K1,-1
204,rnbqkb1r/pppp1ppp/5n2/4p3/1PP5/8/PB1PPPPP/RN1QKBNR,1
205,1nbqk1nQ/2p1bpp1/r3p3/pp1p4/1P3P2/P1PP2PP/4P3/RNB1KBNR,1
206,8/8/8/5K1P/N7/8/8/7k,-1
207,8/K7/8/8/1k6/8/8/7R,1
208,1R6/1b3k2/2r3R1/1P3pP1/5p1p/8/5K2/6N1,-1
209,r3kb2/P3pbnr/Bq4p1/2R1p3/1n1p2pP/B2P1P2/2PNN2R/Q3K3,1
210,6k1/6b1/7p/8/1b5K/8/8/3q4,-1
211,3n4/2R1k3/8/r2P3P/1pn5/7P/1RK1Br2/8,-1
212,8/8/8/8/n7/4kp2/8/3K4,1
213,rnbr4/pp2kpp1/8/2p4Q/PbP1P3/1P2n1q1/3PN3/RNBK1B1R,-1
214,4k3/6r1/8/8/4b2K/8/8/8,1
215,4n2b/7K/2k5/6P1/8/8/8/8,-1
216,8/8/8/2R5/1k6/8/4K3/8,-1
217,8/8/1P1P4/4k3/1n6/7K/5b2/8,-1
218,1r3Nk1/1q2r3/3b1p2/1p1p1b2/1p1PP1pR/1nP5/1n3KB1/R7,-1
219,r1b1k1nr/p1pp1p2/2n1pbBp/1pq3p1/1P4N1/B3PP2/P1PP2PP/RNQ2KR1,1
220,r2qkbnr/5p1p/n7/pPp1p1p1/1PPp4/3BPQ1b/R2PNPPP/1NB1K2R,1
221,1k6/8/7p/1K3b2/8/p5n1/8/8,-1
222,8/3K4/r7/8/4k3/8/3R4/8,1
223,rn2k2r/ppp2ppp/7B/3bp3/P5n1/8/1PP4K/6R1,-1
224,bn1qkbQ1/5p2/r3pPp1/p7/2pPp3/P1P2NPP/R2B4/4KB1R,1
225,rkb3nr/pQ1p1B2/1p3p2/1Pp4P/1nP1qbKp/B1N5/P7/R5R1,-1
226,2kq4/rN6/p4ppr/2p1Pn1p/p1PNb2P/P1n1PP2/1P4P1/2R1KB1R,1
227,rnb1kbnr/pP2ppp1/3q4/7p/1P6/8/P1PP1PPP/RNBQKBNR,1
228,2q3k1/8/nB1p4/3Pr1pp/1PP1P1QP/6K1/5p1R/RNN5,-1
229,8/5N1k/2K5/1B6/8/7p/7P/8,-1
230,8/R7/3k2r1/6pr/p1B4P/Pp3P2/2b3R1/6K1,1
231,2n5/p7/2k4p/2P4P/2P1r3/p4P1K/N2R2B1/2R5,-1
232,3n1b2/1b2p3/2P1k1p1/1p3pPr/5P1P/Br1Q2p1/R1PNK3/5RN1,-1
233,rn2k2r/1pp2p2/7p/p2b1K2/P3p3/8/1PP5/2R5,-1
234,3r3r/q2Bb1p1/4p1k1/3p3p/pR4PP/P2p1K2/N4P2/N1B1Qn1R,1
235,8/4n3/7P/8/p7/8/4R3/5k1K,-1
236,8/5R2/6B1/1k5P/R7/7p/7P/K7,-1
237,r3k2q/2p4n/n1P1p1Pb/pp3P1B/1N6/B2P3N/P7/Q3RK2,-1
238,1r3Nk1/1q2r3/3b1p2/1ppp1b2/1P1PP1pR/1nP5/1n4B1/R4K2,-1
239,5n2/8/8/6k1/8/5p2/K7/8,1
240,1nbqk2r/1pp3p1/r6p/p3PP2/Pb6/1P2PN1B/2PP3P/R1BQKn1R,1
241,8/7K/4r3/1P6/2N5/8/5k2/8,1
242,2kb1r2/1n5B/3R4/6N1/1B5p/7R/3K2PP/8,-1
243,8/4k3/7p/b7/8/5K2/1b6/q7,-1
244,r1bqk1nr/pppp3p/5pp1/n1b1p3/2PP3P/5P2/PP2P1P1/RNBQKBNR,1
245,3n1b2/5k1r/b1PB2p1/1pN2pP1/2P2p1P/5K2/4R1p1/1r3RN1,-1
246,1K6/3r4/2p4b/8/7p/4k3/8/3B4,1
247,rnbq2nr/p2pkBb1/1p3p2/2p3pP/N1P4P/4pK1R/PP1P1P2/R1BQ4,-1
248,1R2r3/6b1/2Pp1k2/pp1p1P1P/1PR5/8/P1K3p1/4q1Nn,-1
249,8/R7/8/8/1k6/8/3K4/8,-1
250,8/5n2/P7/2k3pP/5bP1/8/2K5/3R4,-1
251,3nk3/8/2R5/r2P4/1p5r/7P/1RK5/3B4,-1
252,7R/3r1b2/5K2/8/8/8/1k6/8,1
253,1rbqk1nr/pp1p4/2pb1pp1/nN2P2p/2P4P/P3BP2/1P2P1P1/R2QKBNR,1
254,r1bqk1nr/pp1p4/2pb1pp1/nN2P2p/2P4P/4BP2/PP2P1P1/R2QKBNR,1
255,4k1nr/ppp1b3/4Q3/5KB1/8/2N5/PPP2PpP/3R2NR,-1
256,3qkr2/1bpp2bp/rp3p2/2Bn2pn/3PN1P1/1RN5/2P1BK1P/1Q2R3,1
257,rn2k2r/1pp2p2/4b2p/p4K2/P3p3/8/1PP5/2R5,-1
258,1R2K3/8/8/8/4k3/8/2r5/8,1
259,8/p2r2Q1/n1k4p/1pP1R3/PP5P/5P2/N1P5/1R3K1B,-1
260,8/1q1R4/5B2/8/8/8/2k5/6K1,-1
261,7k/8/8/5r2/8/8/5K2/8,1
262,4r3/3kb3/3n4/2B3N1/2B4p/6Rp/4K1PP/6R1,-1
263,2R1n3/5k2/3np1pq/4p3/Q2p4/1rP1bp2/2B5/2NK1RBr,1
264,5K2/2R1N1p1/8/2r5/p7/P7/n3k3/4b3,1
265,8/8/1Kp4b/8/5k1p/3B3r/8/8,1
266,5b2/r7/3p4/pp3P2/8/P7/6k1/K3R2n,-1
267,8/7K/8/3k4/1R6/8/8/1r6,1
268,8/1r6/3p3b/pp1p1P2/8/P7/2K2kp1/3R3n,-1
269,1r2kb1r/pq1np1p1/6bn/1Pppp2p/3P3P/1P3N1R/PBQ1NPP1/R3KB2,1
270,1k2B3/8/8/6K1/7R/8/8/8,-1
271,rnb1k2r/3pnppp/Bp2p3/2p3q1/4P1P1/bPP4N/2QP1P1P/RNB1K2R,-1
272,5k2/1r2pr2/p3P2P/2qp3p/1P4pP/NK5R/1P6/3R4,-1
273,1nbqk1n1/1r1p4/1p4p1/p1BP3p/1pP1P2P/P4p2/4NKQR/RN3B2,-1
274,r1q1kb2/P3p1nr/BN4p1/2R1p3/1nbp2pP/B1PP1PN1/Q5R1/4K3,1
275,6B1/n6r/4rN1k/1pp4P/8/6K1/3q4/8,1
276,8/5k2/7n/2R2p1K/8/1p6/8/b7,-1
277,1Q6/2p1r3/7b/4k1q1/7p/1Bp1np1P/8/K7,1
278,8/8/8/1N5P/8/8/4K2k/8,-1
279,1n1qk1n1/r7/1p1pb3/p1BP1Bpp/1pP1P2P/P4p2/R4KQR/1NN5,-1
280,5n2/8/8/8/5k2/5p2/1K6/8,1
281,8/5R2/8/8/3knp2/5K2/8/8,-1
282,1rn5/8/7k/2p5/1p6/8/7K/8,1
283,5B2/7N/3n3p/Pk5P/6P1/4b3/8/5KR1,-1
284,K7/2n4k/1r2b2p/p7/8/8/8/8,-1
285,8/5p1k/5P2/4p1pP/p3p3/7b/1K6/1R6,1
286,r2k1b1r/pppb2pp/n7/1q1ppp1P/2N5/2QP1P1B/PPP1P2P/R1B2KNR,-1
287,5k2/8/1P3P1p/8/3q4/7K/p2b4/b7,-1
288,8/1P6/k7/8/8/8/4nK2/8,-1
289,Qn2kbnr/p3ppp1/3q4/1B5p/1P6/8/P1PP1PPP/RNBbK1NR,1
290,8/6k1/8/2pn4/1r6/8/3n1K2/8,1
291,8/7k/n6p/p2K4/1r6/8/2b5/8,-1
292,8/8/5k2/3K4/7P/8/8/4NB2,-1
293,8/p7/1p2k3/8/3B1NK1/8/PPP2P2/8,-1
294,5k2/1K6/1R5P/8/8/5B1p/7P/8,-1
295,1R2r3/6b1/2Pp4/pp1p1P1P/1P3k2/6q1/P1K3p1/6Nn,-1
296,r2n1r2/3k1q2/BP1b2Np/7P/5pp1/p5P1/5K1R/b7,-1
297,3k2r1/8/7K/8/8/8/8/7b,1
298,3nq2r/3k3p/3pp3/rP3p1P/2p1PNp1/pPb3P1/P3K3/3R1B1R,-1
299,6k1/8/8/8/7R/8/4K3/8,-1
300,1nbqkb1r/2pppppp/r6n/pp6/1P6/P1P4P/1B1PPPP1/RN1QKBNR,1
301,rnbqkbnr/ppppppp1/8/7p/P3P3/8/1PPP1PPP/RNBQKBNR,-1
302,1r2k2q/2p4n/n1P1p1Pb/pp3P1B/1N3N2/B2P4/P7/Q3RK2,-1
303,4r3/4k3/3nNb2/8/2pB3p/7p/6PP/1R1K1BR1,-1
304,qr3Nk1/1R6/5p2/1pbp1b1R/3PP1p1/1np5/1n3KB1/8,-1
305,8/8/8/3K1k2/7P/8/8/4NB2,-1
306,r1bqk2r/3p4/p1N2ppn/1p2P2p/1QP4P/P4P2/nP2PBP1/R3KBNR,1
307,2bqkbr1/1n1pp3/rpp3p1/4PpPp/3P1PB1/2NK4/PpP2R1P/R1B1Q1N1,-1
308,2rk1b1r/pppb2pp/n7/2qppp1P/2N5/2QPPPBB/PPP4P/R4KNR,-1
309,1R6/2P1P2k/8/4B3/p1pP3K/P1r5/8/2b1nQ2,-1
310,K5R1/8/8/8/8/8/8/3k4,1
311,8/7k/n6p/p3K3/1r6/8/8/3b4,-1
312,4b3/5R2/3r1p1k/1p6/6K1/5n2/2p5/6n1,-1
313,8/4krb1/p2p3p/4r1p1/Np2P3/P4RpB/1B5P/R1Q3K1,1
314,3k4/7B/4r3/8/1p3nr1/1K4RP/4R3/8,-1
315,rn3bnQ/2p1pq2/p2p2k1/1pPN1pp1/1P3PP1/B6N/P1b1PK2/1R3B1R,-1
316,8/7K/6r1/1P6/8/N7/5k2/8,1
317,b1k5/8/8/4K3/7b/6r1/8/8,1
318,6k1/8/8/8/8/5p2/8/5K2,-1
319,1k6/8/4b2p/8/K7/6n1/8/q7,-1
320,8/1r6/8/P7/b2K4/8/8/k7,1
321,8/7R/8/8/1Bq5/8/8/3k2K1,-1
322,2r3nr/3Bbk2/n1q5/pPP5/2Ppp2Q/N2PPPNb/1R4PP/2B2K1R,1
323,5B2/b6N/1k5p/7P/P5P1/1n6/5N2/R6K,-1
324,8/1k3KR1/8/8/6P1/8/6n1/b7,-1
325,1R6/2P1P3/6k1/3PB1b1/p1p4K/P2r4/8/4nQ2,-1
326,3q1k1r/2p5/bpn2p1b/3p2p1/5NPp/2RPP3/1K5P/1Q3B1n,1
327,6k1/3B4/1K6/8/8/3N3p/7P/8,-1
328,8/K7/8/8/8/8/k7/5R2,1
329,4k3/8/8/7K/8/r7/8/1N6,1
330,rn1qkb1r/1bp1p2p/3p1p2/Bp4p1/p3P2P/NP1P1QPn/P1P5/R3KBNR,-1
331,1nbqkbnr/rpppp1p1/7p/p4p2/5PP1/7B/PPPPP2P/RNBQK1NR,1
332,rnbqkb1r/pppppppp/8/8/6nP/3P2P1/PPP1PP2/RNBQKBNR,-1
333,4r3/p1k5/2n4p/2P5/p6P/2P2PR1/N2Q4/1R4KB,-1
334,1R6/8/4K3/r7/8/N7/5k2/8,1
335,8/k7/8/1r1B2K1/8/8/1R6/4n3,-1
